address,suburb,postcode,sale_price,sale_date,property_type,bedrooms,bathrooms,parking_spaces,land_size_m2,sale_method,property_description,source,listing_url,full_address,geocode_level,latitude,longitude,coordinate_precision,coordinate_source,distance_to_cbd_km,nearest_station,distance_to_station_km
42 Morton Street,Parramatta,2150,2125000,2025-11-17,House,5,3,2.0,NA,Private Treaty,Newly constructed semi-detached residence across two spacious levels.,Domain,https://www.domain.com.au/42-morton-street-parramatta-nsw-2150-2020287315,"42 Morton Street, Parramatta, NSW 2150, Australia",2.0,-33.80958776,151.01835155,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 42 Morton Street, Parramatta, Sydney, New South Wales, 2150",18.824755440445053,Parramatta Station,1.4901359922915922
38 Inkerman Street,Parramatta,2150,2010500,2025-11-15,House,3,2,4.0,698.6,Auction,Fully renovated full-brick home near Parramatta Station and Westfield.,Domain,https://www.domain.com.au/38-inkerman-street-parramatta-nsw-2150-2020353724,"38 Inkerman Street, Parramatta, NSW 2150, Australia",2.0,-33.82365377,151.00044897,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 38 Inkerman Street, Parramatta, Sydney, New South Wales, 2150",19.930245694188272,Harris Park Station,0.666045277428139
9 Carrington Street,Parramatta,2150,1785000,2025-09-20,House,5,3,2.0,455.0,Auction,"Contemporary rendered family home near schools, Westfield, and station.",Domain,https://www.domain.com.au/9-carrington-street-parramatta-nsw-2150-2020213990,"9 Carrington Street, Parramatta, NSW 2150, Australia",2.0,-33.82409579,150.99585368,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 9 Carrington Street, Parramatta, Sydney, New South Wales, 2150",20.329101215177197,Harris Park Station,1.0928227843624339
1/77-79 Thomas Street,Parramatta,2150,1300000,2026-06-21,Townhouse,4,2,2.0,284.0,Auction,"Double brick townhouse offering the space of a standalone home, double lock-up garage.",Domain,https://www.domain.com.au/1-77-79-thomas-street-parramatta-nsw-2150-2020871307,"1/77-79 Thomas Street, Parramatta, NSW 2150, Australia",3.0,-33.81305259,151.02043336,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.91; matched: 77 Thomas Street, Unit 1, Parramatta, Sydney, New South Wales, 2150",18.51187091185654,Parramatta Station,1.4804379420456864
1/28-30 Broughton Street,Parramatta,2150,1068000,2026-06-01,Townhouse,3,2,1.0,196.0,Private Treaty,Three-bedroom townhouse; agent noted overwhelming buyer interest.,Domain,https://www.domain.com.au/1-28-30-broughton-street-parramatta-nsw-2150-2020710655,"1/28-30 Broughton Street, Parramatta, NSW 2150, Australia",3.0,-33.8133758,151.01930532,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.91; matched: 28 Broughton Street, Unit 1, Parramatta, Sydney, New South Wales, 2150",18.598099999406532,Parramatta Station,1.3702024852328494
4/6 Morton Street,Parramatta,2150,1200000,2026-05-10,Townhouse,4,2,2.0,299.0,Auction,"Full brick townhouse, ""299 sqm on title,"" multiple living zones.",Domain,https://www.domain.com.au/4-6-morton-street-parramatta-nsw-2150-2020768325,"4/6 Morton Street, Parramatta, NSW 2150, Australia",1.0,-33.81278026,151.01728185,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 6 Morton Street, Unit 4, Parramatta, Sydney, New South Wales, 2150",18.796424581368417,Parramatta Station,1.2224986876266233
8/3-5 Irving Street,Parramatta,2150,1190000,2026-03-09,Townhouse,3,2,2.0,145.0,Auction,"Spacious three-bedroom townhouse at rear of boutique complex, paved courtyard.",Domain,https://www.domain.com.au/8-3-5-irving-street-parramatta-nsw-2150-2020617733,"8/3-5 Irving Street, Parramatta, NSW 2150, Australia",1.0,-33.81099248,151.02143835,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.95; matched: 3 Irving Street, Unit 8, Parramatta, Sydney, New South Wales, 2150",18.50296225075397,Parramatta Station,1.654720734015683
10/43 Pemberton Street,Parramatta,2150,1101500,2026-01-31,Townhouse,3,2,2.0,204.0,Auction,"Full brick townhome with open-plan living/dining, tiled flooring, near CBD.",Domain,https://www.domain.com.au/10-43-pemberton-street-parramatta-nsw-2150-2020501944,"10/43 Pemberton Street, Parramatta, NSW 2150, Australia",1.0,-33.80894106,151.02020118,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 43 Pemberton Street, Unit 10, Parramatta, Sydney, New South Wales, 2150",18.690360237848157,Parramatta Station,1.6710988046676736
3/11-15 King Street,Parramatta,2150,942000,2026-01-31,Townhouse,3,1,1.0,167.0,Auction,Stylishly renovated townhouse in boutique complex near CBD shopping/dining.,Domain,https://www.domain.com.au/3-11-15-king-street-parramatta-nsw-2150-2020502074,"3/11-15 King Street, Parramatta, NSW 2150, Australia",1.0,-33.8199216,150.99692455,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.9; matched: 11 King Street, Unit 3, Parramatta, Sydney, New South Wales, 2150",20.352688757268005,Parramatta Station,0.821786501124872
2/25-29 O'Connell Street,Parramatta,2150,851000,2026-01-30,Townhouse,2,1,1.0,116.0,Private Treaty,"Recently renovated townhouse with bright, open living spaces near CBD.",Domain,https://www.domain.com.au/2-25-29-o-connell-street-parramatta-nsw-2150-2020415770,"2/25-29 O'Connell Street, Parramatta, NSW 2150, Australia",NA,-33.80533768,151.00231403,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.91; matched: 25 O'connell Street, Unit 2, Parramatta, Sydney, New South Wales, 2150",20.378285821907216,Westmead Station,1.37745337514819
6/28 Broughton Street,Parramatta,2150,1000000,2026-01-15,Townhouse,3,2,1.0,NA,Private Treaty,"Townhouse with granite gas kitchen, ensuite, secure garage, near university.",Domain,https://www.domain.com.au/6-28-broughton-street-parramatta-nsw-2150-2020470829,"6/28 Broughton Street, Parramatta, NSW 2150, Australia",1.0,-33.8133758,151.01930532,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 28 Broughton Street, Unit 6, Parramatta, Sydney, New South Wales, 2150",18.598099999406532,Parramatta Station,1.3702024852328494
508/125 Arthur Street,Parramatta,2150,793900,2026-06-30,Apartment-Unit,2,2,1.0,NA,Private Treaty,"Level 5 apartment, north-east aspect, district views, one of three units on its level.",Domain,https://www.domain.com.au/508-125-arthur-street-parramatta-nsw-2150-2020985656,"508/125 Arthur Street, Parramatta, NSW 2150, Australia",1.0,-33.81875559,151.01961294,approximate_address,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 125 Arthur Street, Parramatta, Sydney, New South Wales, 2150",18.380920947806192,Harris Park Station,1.2176129002542107
625/88 Church Street,Parramatta,2150,520000,2026-06-29,Apartment-Unit,1,1,NA,NA,Auction,"Modern West Village apartment, bright north-east aspect, open interiors.",Domain,https://www.domain.com.au/625-88-church-street-parramatta-nsw-2150-2020794062,"625/88 Church Street, Parramatta, NSW 2150, Australia",1.0,-33.82003974,151.00417842,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 88 Church Street, Unit 625, Parramatta, Sydney, New South Wales, 2150",19.704278933182245,Parramatta Station,0.3026322732726156
841/180 George Street,Parramatta,2150,600000,2026-06-29,Apartment-Unit,2,1,NA,NA,Private Treaty,"Contemporary apartment with river views, bonus multipurpose room.",Domain,https://www.domain.com.au/841-180-george-street-parramatta-nsw-2150-2020520238,"841/180 George Street, Parramatta, NSW 2150, Australia",NA,-33.81433875,151.01005036,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 180 George Street, Unit 841, Parramatta, Sydney, New South Wales, 2150",19.372796289992962,Parramatta Station,0.5597998825656406
203/36-46 Cowper Street,Parramatta,2150,600000,2026-06-26,Apartment-Unit,2,2,1.0,NA,Private Treaty,"Contemporary two-bedroom apartment in Parramatta CBD, bright open plan.",Domain,https://www.domain.com.au/203-36-46-cowper-street-parramatta-nsw-2150-2020859335,"203/36-46 Cowper Street, Parramatta, NSW 2150, Australia",NA,-33.82000705,151.00702609,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.91; matched: 36 Cowper Street, Unit 203, Parramatta, Sydney, New South Wales, 2150",19.452591117322843,Parramatta Station,0.3209589756213589
2501/45 Macquarie Street,Parramatta,2150,560000,2026-06-26,Apartment-Unit,1,1,1.0,NA,Private Treaty,"Luxury apartment in landmark building, huge main bedroom plus study.",Domain,https://www.domain.com.au/2501-45-macquarie-st-parramatta-nsw-2150-2019567875,"2501/45 Macquarie Street, Parramatta, NSW 2150, Australia",NA,-33.81499769,151.00099925,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 45 Macquarie Street, Unit 2501, Parramatta, Sydney, New South Wales, 2150",20.14657537158172,Parramatta Station,0.4863341506986463
4/29A Great Western Highway,Parramatta,2150,420000,2026-06-25,Apartment-Unit,2,1,1.0,NA,Private Treaty,Sun-filled two-bedroom apartment in boutique full-brick complex of 15.,Domain,https://www.domain.com.au/4-29a-great-western-highway-parramatta-nsw-2150-2020814643,"4/29A Great Western Highway, Parramatta, NSW 2150, Australia",1.0,-33.81989386,151.00108114,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 29A Great Western Highway, Unit 4, Parramatta, Sydney, New South Wales, 2150",19.983859621481237,Parramatta Station,0.4744869646983552
18/3 Good Street,Parramatta,2150,710000,2026-06-25,Apartment-Unit,2,2,1.0,NA,Private Treaty,"Fourth-floor apartment in resort-style security complex, freshly renovated.",Domain,https://www.domain.com.au/18-3-good-street-parramatta-nsw-2150-2020826525,"18/3 Good Street, Parramatta, NSW 2150, Australia",NA,-33.81777076,150.9938639,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 3 Good Street, Unit 18, Parramatta, Sydney, New South Wales, 2150",20.68977271519926,Parramatta Station,1.0592611783148844
1204/45 Macquarie Street,Parramatta,2150,515000,2026-06-16,Apartment-Unit,1,1,1.0,NA,Private Treaty,"One-bedroom apartment in central Parramatta, strong buyer interest.",Domain,https://www.domain.com.au/1204-45-macquarie-street-parramatta-nsw-2150-2020795901,"1204/45 Macquarie Street, Parramatta, NSW 2150, Australia",NA,-33.81481899,151.0011041,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 45 Macquarie Street, Unit 1204, Parramatta, Sydney, New South Wales, 2150",20.14326025274091,Parramatta Station,0.4901862583994255
2802/88 Church Street,Parramatta,2150,879000,2026-05-22,Apartment-Unit,2,2,1.0,NA,Private Treaty,High-rise 28th-floor West Village apartment with sweeping urban views.,Domain,https://www.domain.com.au/2802-88-church-street-parramatta-nsw-2150-2020607047,"2802/88 Church Street, Parramatta, NSW 2150, Australia",NA,-33.81945167,151.00416828,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 88 Church Street, Unit 2802, Parramatta, Sydney, New South Wales, 2150",19.72333423915949,Parramatta Station,0.24287136843701984
6/14 Queens Avenue,Parramatta,2150,588000,2026-05-29,Apartment-Unit,2,1,1.0,NA,Private Treaty,North-facing double brick apartment in well-maintained complex of 18.,Domain,https://www.domain.com.au/6-14-queens-avenue-parramatta-nsw-2150-2020841182,"6/14 Queens Avenue, Parramatta, NSW 2150, Australia",NA,-33.8122732,151.01060734,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 14 Queens Avenue, Unit 6, Parramatta, Sydney, New South Wales, 2150",19.39735383343347,Parramatta Station,0.7580770108596315
4536/180 George Street,Parramatta,2150,945000,2026-05-22,Apartment-Unit,2,2,1.0,NA,Private Treaty,Luxury apartment on level 45 of Parramatta's tallest residential tower.,Domain,https://www.domain.com.au/4536-180-george-street-parramatta-nsw-2150-2020631565,"4536/180 George Street, Parramatta, NSW 2150, Australia",NA,-33.81433875,151.01005036,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 180 George Street, Unit 4536, Parramatta, Sydney, New South Wales, 2150",19.372796289992962,Parramatta Station,0.5597998825656406
613/22 Charles Street,Parramatta,2150,430000,2026-05-22,Apartment-Unit,1,1,1.0,NA,Private Treaty,Centrally-located apartment with expansive open-plan living and dining.,Domain,https://www.domain.com.au/613-22-charles-street-parramatta-nsw-2150-2020271324,"613/22 Charles Street, Parramatta, NSW 2150, Australia",NA,-33.81537484,151.00947343,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 22 Charles Street, Unit 613, Parramatta, Sydney, New South Wales, 2150",19.387699529445754,Parramatta Station,0.44967510512676007
505/88 Church Street,Parramatta,2150,555000,2026-05-21,Apartment-Unit,1,1,1.0,NA,Private Treaty,Level 5 West Village apartment with dedicated home-office study area.,Domain,https://www.domain.com.au/505-88-church-street-parramatta-nsw-2150-2020824094,"505/88 Church Street, Parramatta, NSW 2150, Australia",NA,-33.81945167,151.00416828,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 88 Church Street, Unit 505, Parramatta, Sydney, New South Wales, 2150",19.72333423915949,Parramatta Station,0.24287136843701984
31/478 Church Street,Parramatta,2150,680000,2026-05-14,Apartment-Unit,2,2,2.0,NA,Private Treaty,"Spacious North Parramatta apartment, dual balconies, skyline views.",Domain,https://www.domain.com.au/31-478-church-street-parramatta-nsw-2150-2020864175,"31/478 Church Street, Parramatta, NSW 2150, Australia",NA,-33.80427556,151.00621539,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 478 Church Street, Unit 31, Parramatta, Sydney, New South Wales, 2150",20.082633281981206,Parramatta Station,1.4717073653321695
32/1 Macquarie Street,Parramatta,2150,675000,2026-05-21,Apartment-Unit,2,2,1.0,NA,Private Treaty,"Level 4 Central Park apartment with entertainers' balcony, gas kitchen.",Domain,https://www.domain.com.au/32-1-macquarie-street-parramatta-nsw-2150-2020667356,"32/1 Macquarie Street, Parramatta, NSW 2150, Australia",NA,-33.81425124,150.99818385,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 1 Macquarie Street, Unit 32, Parramatta, Sydney, New South Wales, 2150",20.419594281224672,Parramatta Station,0.7516371804071813
1917/45 Macquarie Street,Parramatta,2150,720000,2026-05-21,Apartment-Unit,2,2,1.0,NA,Private Treaty,"Luxury CBD apartment, designer kitchen with SMEG appliances and stone benchtops.",Domain,https://www.domain.com.au/1917-45-macquarie-st-parramatta-nsw-2150-2020779634,"1917/45 Macquarie Street, Parramatta, NSW 2150, Australia",NA,-33.81525305,151.00093077,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 45 Macquarie Street, Unit 1917, Parramatta, Sydney, New South Wales, 2150",20.144176189947245,Parramatta Station,0.47611278150629494
84 Medley Avenue,Liverpool,2170,1050000,2026-06-06,House,3,1,3.0,510.0,Auction,"Well-maintained family home with pool, pergola and detached workshop/garage on a generous block.",Domain,https://www.domain.com.au/84-medley-avenue-liverpool-nsw-2170-2020828961,"84 Medley Avenue, Liverpool, NSW 2170, Australia",NA,-33.9115402,150.91095749,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 84 Medley Avenue, Liverpool, Sydney, New South Wales, 2170",27.945214960326698,Liverpool Station,2.120780776196121
119 Atkinson Street,Liverpool,2170,1265000,2026-06-02,House,3,1,4.0,657.7,Sold prior to auction,"Clad home on an R3 medium-density block, walking distance to Liverpool CBD.",Domain,https://www.domain.com.au/119-atkinson-street-liverpool-nsw-2170-2020855872,"119 Atkinson Street, Liverpool, NSW 2170, Australia",NA,-33.92981225,150.91313561,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 119 Atkinson Street, Liverpool, Sydney, New South Wales, 2170",28.16348992075152,Liverpool Station,1.4176834644358698
151 Memorial Avenue,Liverpool,2170,1210000,2026-06-01,House,3,1,1.0,537.5,Private Treaty,"Renovated corner-block residence (R4 zoning) near CBD, hospital and station.",Domain,https://www.domain.com.au/151-memorial-avenue-liverpool-nsw-2170-2020574029,"151 Memorial Avenue, Liverpool, NSW 2170, Australia",NA,-33.9229411,150.91030605,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 151 Memorial Avenue, Liverpool, Sydney, New South Wales, 2170",28.245448328514964,Liverpool Station,1.5860606470125809
133 Orange Grove Road,Liverpool,2170,1090000,2026-06-09,House,3,1,4.0,664.0,Private Treaty,"Family home with open-plan kitchen/sunroom and double garage, R3 zoning.",Domain,https://www.domain.com.au/133-orange-grove-road-liverpool-nsw-2170-2020838192,"133 Orange Grove Road, Liverpool, NSW 2170, Australia",NA,-33.91336867,150.91918273,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 133 Orange Grove Road, Liverpool, Sydney, New South Wales, 2170",27.23334219498496,Warwick Farm Station,1.4684188609611672
96A Reilly Street,Liverpool,2170,1175000,2026-05-08,House,3,3,1.0,NA,Private Treaty,"Contemporary home with master ensuite/WIR, no strata fees.",Domain,https://www.domain.com.au/96a-reilly-street-liverpool-nsw-2170-2020653035,"96A Reilly Street, Liverpool, NSW 2170, Australia",NA,-33.93352929,150.90582206,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 96A Reilly Street, Liverpool, Sydney, New South Wales, 2170",28.918563687746346,Casula Station,1.9358676164247595
20 Mayberry Crescent,Liverpool,2170,1000000,2026-04-13,House,3,1,1.0,674.0,Private Treaty,Development-potential block; possible knockdown-rebuild or house+granny flat (STCA).,Domain,https://www.domain.com.au/20-mayberry-crescent-liverpool-nsw-2170-2020666839,"20 Mayberry Crescent, Liverpool, NSW 2170, Australia",NA,-33.919997,150.91386978,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 20 Mayberry Crescent, Liverpool, Sydney, New South Wales, 2170",27.855888291526426,Liverpool Station,1.3574356625885593
10 Lehmann Avenue,Liverpool,2170,1270000,2026-04-28,House,4,2,2.0,556.4,Private Treaty,"Updated family home with in-ground pool, close to shops/parks/schools.",Domain,https://www.domain.com.au/10-lehmann-avenue-liverpool-nsw-2170-2020600326,"10 Lehmann Avenue, Liverpool, NSW 2170, Australia",NA,-33.91642681,150.90813606,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 10 Lehmann Avenue, Liverpool, Sydney, New South Wales, 2170",28.297737194171763,Liverpool Station,2.0073500655630263
271 Memorial Avenue,Liverpool,2170,1505000,2026-04-02,House,3,1,1.0,885.2,Sold prior to auction,Brick home with development potential (STCA) and bush views.,Domain,https://www.domain.com.au/271-memorial-avenue-liverpool-nsw-2170-2020690624,"271 Memorial Avenue, Liverpool, NSW 2170, Australia",NA,-33.92537784,150.90041766,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 271 Memorial Avenue, Liverpool, Sydney, New South Wales, 2170",29.194587766838268,Liverpool Station,2.4834575103061427
54 Passefield Street,Liverpool,2170,1525000,2026-03-31,House,3,1,1.0,618.3,Private Treaty,"Solid brick residence suited to knockdown/rebuild, near Liverpool City Centre.",Domain,https://www.domain.com.au/54-passefield-street-liverpool-nsw-2170-2020730864,"54 Passefield Street, Liverpool, NSW 2170, Australia",NA,-33.93102264,150.91197203,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 54 Passefield Street, Liverpool, Sydney, New South Wales, 2170",28.300144639789274,Liverpool Station,1.5706113279445562
4 Hindmarsh Road,Liverpool,2170,1100000,2026-03-28,House,3,2,3.0,363.8,Sold prior to auction,Parkside home opposite Schell Park with triple car accommodation.,Domain,https://www.domain.com.au/4-hindmarsh-road-liverpool-nsw-2170-2020643472,"4 Hindmarsh Road, Liverpool, NSW 2170, Australia",3.0,-33.91173735,150.91431419,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 4 Hindmarsh Road, Liverpool, Sydney, New South Wales, 2170",27.643689562585337,Liverpool Station,1.8955437614315216
24 Rose Street,Liverpool,2170,1732000,2026-03-28,House,5,2,2.0,815.0,Auction,Full brick residence with self-contained accommodation area.,Domain,https://www.domain.com.au/24-rose-street-liverpool-nsw-2170-2020645573,"24 Rose Street, Liverpool, NSW 2170, Australia",2.0,-33.93240293,150.91424579,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 24 Rose Street, Liverpool, Sydney, New South Wales, 2170",28.13468185996365,Liverpool Station,1.46559396207162
21 Raine Avenue,Liverpool,2170,1190000,2026-03-23,House,3,1,1.0,674.0,Private Treaty,"Level 674sqm block zoned low-density residential, renovation potential.",Domain,https://www.domain.com.au/21-raine-avenue-liverpool-nsw-2170-2020691606,"21 Raine Avenue, Liverpool, NSW 2170, Australia",2.0,-33.93273938,150.90749635,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 21 Raine Avenue, Liverpool, Sydney, New South Wales, 2170",28.747204894624367,Casula Station,1.983388134664223
6 Gill Avenue,Liverpool,2170,1705000,2026-02-28,House,3,1,2.0,689.2,Auction,"Corner-lot brick residence, R4-zoned, renovation/development potential.",Domain,https://www.domain.com.au/6-gill-avenue-liverpool-nsw-2170-2020571015,"6 Gill Avenue, Liverpool, NSW 2170, Australia",2.0,-33.9289109,150.91249993,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 6 Gill Avenue, Liverpool, Sydney, New South Wales, 2170",28.1966492804062,Liverpool Station,1.4380704897093999
27 Hindmarsh Road,Liverpool,2170,1420000,2026-02-05,House,3,2,2.0,556.0,Private Treaty,"Home with split-system A/C, manicured gardens, strong curb appeal.",Domain,https://www.domain.com.au/27-hindmarsh-road-liverpool-nsw-2170-2020549702,"27 Hindmarsh Road, Liverpool, NSW 2170, Australia",2.0,-33.91303667,150.91335144,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 27 Hindmarsh Road, Liverpool, Sydney, New South Wales, 2170",27.756258036710516,Liverpool Station,1.8469970456034097
12 Congressional Drive,Liverpool,2170,1465500,2026-01-31,House,3,1,2.0,556.4,Auction,Double-storey home with elevated views and updated kitchen.,Domain,https://www.domain.com.au/12-congressional-drive-liverpool-nsw-2170-2020504868,"12 Congressional Drive, Liverpool, NSW 2170, Australia",2.0,-33.93594495,150.91679724,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 12 Congressional Drive, Liverpool, Sydney, New South Wales, 2170",28.008690114552216,Liverpool Station,1.563646946649474
3 Dale Avenue,Liverpool,2170,1605000,2026-01-22,House,3,1,3.0,714.5,Auction,Maintained brick home on 714sqm block with 27m frontage.,Domain,https://www.domain.com.au/3-dale-avenue-liverpool-nsw-2170-2020525436,"3 Dale Avenue, Liverpool, NSW 2170, Australia",2.0,-33.92600066,150.90492034,exact_property,"ArcGIS World Geocoding Service; PointAddress; score 100; matched: 3 Dale Avenue, Liverpool, Sydney, New South Wales, 2170",28.80402369095241,Liverpool Station,2.0709438732338583
6/22 Speed Street,Liverpool,2170,410000,2026-06-04,Apartment-Unit,2,1,1.0,NA,Private Treaty,Two-bedroom apartment with hardwood flooring.,Domain,https://www.domain.com.au/6-22-speed-street-liverpool-nsw-2170-2020785751,"6/22 Speed Street, Liverpool, NSW 2170, Australia",2.0,-33.92700804,150.92463282,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 22 Speed Street, Unit 6, Liverpool, Sydney, New South Wales, 2170",27.058963941043316,Liverpool Station,0.33971111650329255
4/25 Norfolk Street,Liverpool,2170,390000,2026-06-04,Apartment-Unit,2,1,1.0,95.0,Private Treaty,"First-floor unit recently painted, new floorboards, BIR storage.",Domain,https://www.domain.com.au/4-25-norfolk-street-liverpool-nsw-2170-2020738031,"4/25 Norfolk Street, Liverpool, NSW 2170, Australia",2.0,-33.92624491,150.91821856,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 25 Norfolk Street, Unit 4, Liverpool, Sydney, New South Wales, 2170",27.614512896658326,Liverpool Station,0.8532093891032804
10/25 Mill Road,Liverpool,2170,420000,2026-06-04,Apartment-Unit,2,1,1.0,NA,Private Treaty,"Well-presented two-bedroom first-floor unit, tenanted.",Domain,https://www.domain.com.au/10-25-mill-road-liverpool-nsw-2170-2020830498,"10/25 Mill Road, Liverpool, NSW 2170, Australia",2.0,-33.9291805,150.92047581,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 25 Mill Road, Unit 10, Liverpool, Sydney, New South Wales, 2170",27.489322304905464,Liverpool Station,0.7895815483962171
14/125 Memorial Avenue,Liverpool,2170,403000,2026-06-03,Apartment-Unit,1,1,1.0,NA,Private Treaty,One-bedroom apartment.,Domain,https://www.domain.com.au/14-125-memorial-avenue-liverpool-nsw-2170-2020787477,"14/125 Memorial Avenue, Liverpool, NSW 2170, Australia",2.0,-33.92318552,150.91272515,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 125 Memorial Avenue, Unit 14, Liverpool, Sydney, New South Wales, 2170",28.03315437565426,Liverpool Station,1.361251375561585
75/387 Macquarie Street,Liverpool,2170,580000,2026-06-13,Apartment-Unit,2,2,1.0,124.0,Private Treaty,Light-filled apartment with skyline views.,Domain,https://www.domain.com.au/75-387-macquarie-street-liverpool-nsw-2170-2020663431,"75/387 Macquarie Street, Liverpool, NSW 2170, Australia",NA,-33.9268606,150.91968967,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 387 Macquarie Street, Unit 75, Liverpool, Sydney, New South Wales, 2170",27.498334903424414,Liverpool Station,0.7368601423230116
2602/311 Hume Highway,Liverpool,2170,545000,2026-05-29,Apartment-Unit,1,1,1.0,NA,Private Treaty,26th-floor ALAND apartment with panoramic Sydney CBD views.,Domain,https://www.domain.com.au/2602-311-hume-highway-liverpool-nsw-2170-2020567231,"2602/311 Hume Highway, Liverpool, NSW 2170, Australia",NA,-33.92924831,150.91725833,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 311 Hume Highway, Unit 2602, Liverpool, Sydney, New South Wales, 2170",27.77919126610962,Liverpool Station,1.046006614530609
504/30 Shepherd Street,Liverpool,2170,620000,2026-05-27,Apartment-Unit,2,2,1.0,NA,Private Treaty,Level 5 apartment in Paper Mill precinct with Georges River views.,Domain,https://www.domain.com.au/504-30-shepherd-street-liverpool-nsw-2170-2020875145,"504/30 Shepherd Street, Liverpool, NSW 2170, Australia",NA,-33.93293882,150.92289994,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 30 Shepherd Street, Unit 504, Liverpool, Sydney, New South Wales, 2170",27.377734782281454,Liverpool Station,0.9800969053012434
40/33-35 Charles Street,Liverpool,2170,585000,2026-05-27,Apartment-Unit,2,2,1.0,NA,Private Treaty,Top-floor apartment with sweeping district views.,Domain,https://www.domain.com.au/40-33-35-charles-street-liverpool-nsw-2170-2020845990,"40/33-35 Charles Street, Liverpool, NSW 2170, Australia",NA,-33.93001044,150.91868753,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 99.91; matched: 33 Charles Street, Unit 40, Liverpool, Sydney, New South Wales, 2170",27.67182841910533,Liverpool Station,0.9772936455753984
Unit 2904/311 Hume Highway,Liverpool,2170,650500,2026-05-26,Apartment-Unit,2,2,1.0,NA,Private Treaty,26th-floor apartment with panoramic Sydney CBD views.,Domain,https://www.domain.com.au/unit-2904-311-hume-highway-liverpool-nsw-2170-2020889151,"Unit 2904/311 Hume Highway, Liverpool, NSW 2170, Australia",NA,-33.92924831,150.91725833,exact_property,"ArcGIS World Geocoding Service; Subaddress; score 100; matched: 311 Hume Highway, Unit 2904, Liverpool, Sydney, New South Wales, 2170",27.77919126610962,Liverpool Station,1.046006614530609
35/24-26 George Street,Liverpool,2170,560000,2026-05-26,Apartment-Unit,2,1,1.0,105.0,Private Treaty,Modern apartment near Westfield and Liverpool Station.,Domain,https://www.domain.com.au/35-24-26-george-street-liverpool-nsw-2170-2020801343,"35/24-26 George Street, Liverpool, NSW 2170, Australia",NA,-33.91691719,150.92655277,approximate_address,"ArcGIS World Geocoding Service; PointAddress; score 99.53; matched: 24 George Street, Liverpool, Sydney, New South Wales, 2170",26.640613722755464,Warwick Farm Station,0.8841741130452355
